gemcode,provcode
14,20
34,24
37,20
47,20
50,24
59,21
60,21
72,21
74,21
80,21
85,21
86,21
88,21
90,21
93,21
96,21
98,21
106,22
109,22
114,22
118,22
119,22
141,23
147,23
148,23
150,23
153,23
158,23
160,23
163,23
164,23
166,23
168,23
171,24
173,23
175,23
177,23
180,23
183,23
184,24
189,23
193,23
197,25
200,25
202,25
203,25
209,25
213,25
214,25
216,25
221,25
222,25
225,25
226,25
228,25
230,25
232,25
233,25
243,25
244,25
246,25
252,25
262,25
263,25
267,25
268,25
269,25
273,25
274,25
275,25
277,25
279,25
281,25
285,25
289,25
293,25
294,25
296,25
297,25
299,25
301,25
302,25
303,24
307,26
308,26
310,26
312,26
313,26
317,26
321,26
327,26
331,26
335,26
339,26
340,26
342,26
344,26
345,26
351,26
352,26
353,26
355,26
356,26
358,27
361,27
362,27
363,27
373,27
375,27
376,27
377,27
383,27
384,27
385,27
388,27
392,27
394,27
396,27
397,27
399,27
400,27
402,27
405,27
406,27
415,27
417,27
420,27
431,27
432,27
437,27
439,27
441,27
448,27
450,27
451,27
453,27
473,27
479,27
482,28
484,28
489,28
498,27
502,28
503,28
505,28
512,28
513,28
518,28
523,28
531,28
532,27
534,28
537,28
542,28
546,28
547,28
553,28
556,28
569,28
575,28
579,28
589,26
590,28
597,28
599,28
603,28
606,28
610,28
613,28
622,28
626,28
627,28
629,28
632,26
637,28
638,28
642,28
654,29
664,29
668,25
677,29
678,29
687,29
703,29
715,29
716,29
717,29
718,29
736,26
737,21
743,30
744,30
748,30
753,30
755,30
757,30
758,30
762,30
765,20
766,30
770,30
772,30
777,30
779,30
784,30
785,30
794,30
796,30
797,30
798,30
809,30
820,30
823,30
824,30
826,30
828,30
840,30
845,30
847,30
848,30
851,30
852,27
855,30
858,30
861,30
865,30
866,30
867,30
873,30
879,30
880,27
882,31
888,31
889,31
893,31
899,31
907,31
917,31
928,31
935,31
938,31
944,31
946,31
957,31
965,31
971,31
981,31
983,31
984,31
986,31
988,31
994,31
995,24
1507,31
1509,25
1525,28
1581,26
1586,25
1598,27
1621,28
1640,31
1641,31
1652,30
1655,30
1658,30
1659,30
1667,30
1669,31
1674,30
1676,29
1680,22
1681,22
1690,22
1695,29
1696,27
1699,22
1700,23
1701,22
1705,25
1706,30
1708,23
1709,30
1711,31
1714,29
1719,30
1721,30
1723,30
1724,30
1728,30
1729,31
1730,22
1731,22
1734,25
1735,23
1740,25
1742,23
1771,30
1773,23
1774,23
1783,28
1842,28
1859,25
1876,25
1883,31
1884,28
1891,21
1892,28
1894,31
1895,20
1896,23
1900,21
1901,28
1903,31
1904,26
1911,27
1916,28
1924,28
1926,28
1930,28
1931,28
1940,21
1942,27
1945,25
1948,30
1949,21
1950,20
1952,20
1954,31
1955,25
1959,30
1960,25
1961,26
1963,28
1966,20
1969,20
1970,21
1978,28
1979,20
1980,27
1982,30
1991,30
1992,28
